timestamp,tipo_gerador,tipo_atividade,bairro_cidade,tipos_residuo,residuos_organicos,especificacao_residuos,origem_residuo,frequencia_descarte,quantidade_gerada,destino_atual,custo_destinacao,potencial_reaproveitamento,caracteristica_residuo,tentativa_reutilizacao,melhor_solucao,num_pessoas,conscientizacao,interesse_aprender
27/02/2026 16:21:30,Pessoa física (residência),Residencial,Centro,"Orgânicos (restos de alimentos, cascas, bagaço), Plástico","Restos de comida, Borra de café","borra de café, cascas no preparo de alimentos",Consumo diário,,1–5 kg por semana,Coleta seletiva,Não,Nunca pensei sobre isso,É úmido,Não,,1 a 3,,Talvez
27/02/2026 16:26:10,Pessoa física (residência),Residencial,Chapecó (sem bairro),"Orgânicos (restos de alimentos, cascas, bagaço), Plástico","Cascas de frutas, Casca de ovos, Papel Higiênico","Casca de banana, mamão, maça, melancia, casca de ovo.",Consumo diário,,1–5 kg por semana,Coleta pública comum,Não,Sim,"Alto teor orgânico, Contém vitaminas, minerais e compostos nutritivos",Não,,1 a 3,,Não
27/02/2026 16:29:20,Pessoa física (residência),Residencial,Bela Vista,"Orgânicos (restos de alimentos, cascas, bagaço), Plástico, Óleo residual","Restos de comida, Cascas de frutas, Casca de ovos, Cascas de legumes e verduras, Frutas estragadas, Legumes e verduras estragadas","cascas de banana, cascas de batata, restos de refeições que já azedaram, outros alimentos que já azedaram como iogurte etc, cascas de temperos como cebola e alho, cascas de verduras e legumes em um geral",Consumo diário,,1–5 kg por semana,Coleta pública comum,Não,Sim,"Alto teor orgânico, Contém vitaminas, minerais e compostos nutritivos",Sim,,1 a 3,,Sim
27/02/2026 16:29:41,Pessoa física (residência),Residencial,Centro,"Orgânicos (restos de alimentos, cascas, bagaço), Plástico","Restos de comida, Cascas de frutas, Legumes e verduras estragadas","restos de comida no geral, carnes e grãos que acabam sobrando e cascas de frutas e vegetais ",Consumo diário,,1–5 kg por semana,Coleta pública comum,Não sei,Sim,"Alto teor orgânico, É úmido, Contém vitaminas, minerais e compostos nutritivos",Sim,,4 a 6,,Sim
27/02/2026 16:32:53,Pessoa física (residência),Residencial,Passo dos Fortes,"Orgânicos (restos de alimentos, cascas, bagaço), Plástico","Restos de comida, Casca de ovos, Borra de café",.,Consumo diário,,1–5 kg por semana,Coleta pública comum,Sim,Sim,"Alto teor orgânico, É úmido, Contém vitaminas, minerais e compostos nutritivos",Sim,,1 a 3,,Sim
27/02/2026 16:35:34,Pessoa física (residência),Residencial,Primavera,"Orgânicos (restos de alimentos, cascas, bagaço), Plástico","Restos de comida, Casca de ovos, Cascas de legumes e verduras","Cascas de banana, resto de comida (arroz, carne, feijão...) verduras estragas, casca da batatinha...",Consumo diário,,1–5 kg por semana,Coleta pública comum,Não sei,Nunca pensei sobre isso,Não sei informar,Não,,4 a 6,,Sim
27/02/2026 16:37:38,Pessoa física (residência),Residencial,São Cristóvão,"Orgânicos (restos de alimentos, cascas, bagaço), Plástico","Restos de comida, Legumes e verduras estragadas","Arroz, frutas estragadas ",Consumo diário,,1–5 kg por semana,Coleta seletiva,Não,Nunca pensei sobre isso,Alto teor orgânico,Não,,1 a 3,,Não
27/02/2026 16:38:45,Pessoa física (residência),Residencial,Efapi,"Orgânicos (restos de alimentos, cascas, bagaço), Plástico",Restos de comida,Restos de arroz e macarrão cozidos,Consumo diário,,1–5 kg por semana,Coleta pública comum,Não sei,Sim,Não sei informar,Não,,1 a 3,,Talvez
27/02/2026 16:40:32,Pessoa física (residência),Residencial,Saic,"Orgânicos (restos de alimentos, cascas, bagaço)","Restos de comida, Cascas de frutas, Casca de ovos","Casca de banana
Resto de arroz
Restos de macarrão
Casca de melancia 
",Consumo diário,,5–10 kg por semana,Coleta pública comum,Não,Sim,"Contém vitaminas, minerais e compostos nutritivos",Não,,1 a 3,,Talvez
27/02/2026 16:41:17,Pessoa física (residência),Residencial,Vila Real,"Orgânicos (restos de alimentos, cascas, bagaço), Plástico","Restos de comida, Cascas de frutas, Cascas de legumes e verduras","Casca de banana, casca de batata, arroz",Consumo diário,,1–5 kg por semana,Coleta pública comum,Não,Nunca pensei sobre isso,Alto teor orgânico,Não,,1 a 3,,Talvez
27/02/2026 16:46:17,Pessoa física (residência),Residencial,Alvorada,"Orgânicos (restos de alimentos, cascas, bagaço), Plástico","Restos de comida, Casca de ovos, Cascas de legumes e verduras","Restos de carne
Restos de arroz
Cascas de banana/frutas",Consumo diário,,1–5 kg por semana,Reaproveitamento,Não,Sim,Alto teor orgânico,Sim,,4 a 6,,Sim
27/02/2026 16:46:30,Pessoa física (residência),Residencial,Frei Bruno,"Orgânicos (restos de alimentos, cascas, bagaço), Plástico","Cascas de frutas, Casca de ovos, Cascas de legumes e verduras","Cascas de batatas, de cebolas, de laranja, banana..",Consumo diário,,10–50 kg por semana,Compostagem,Não,Não,Alto teor orgânico,Não,,4 a 6,,Talvez
27/02/2026 16:48:34,Pessoa física (residência),contabilidade,Presidente Médici,"Orgânicos (restos de alimentos, cascas, bagaço), Plástico, papel","Restos de comida, Cascas de frutas, Borra de café","casca de banana, restos de feijao e arroz",Consumo diário,,1–5 kg por semana,Coleta pública comum,Não,Nunca pensei sobre isso,É seco,Não,,6 a 10,,Talvez
27/02/2026 16:49:04,Pessoa física (residência),Residencial,Efapi,"Orgânicos (restos de alimentos, cascas, bagaço), Plástico","Restos de comida, Borra de café, Legumes e verduras estragadas","Carboidratos como macarrão com molho, arroz
Legumes e verduras como batatas, cenoura",Consumo diário,,"Menos de 1kg por semana, nem toda semana gera resíduo",Coleta pública comum,Sim,Nunca pensei sobre isso,Não sei informar,Não,,1 a 3,,Talvez
27/02/2026 16:57:03,Pessoa física (residência),Residencial,Jardim Itália,"Orgânicos (restos de alimentos, cascas, bagaço), Plástico, Papelão","Restos de comida, Cascas de frutas, Casca de ovos, Borra de café, Sementes de frutas, Cascas de legumes e verduras, Frutas estragadas, Legumes e verduras estragadas","Cascas de ovos, borra de café, cascas de frutas.",Consumo diário,,5–10 kg por semana,Coleta seletiva,Não,Sim,"Alto teor orgânico, É úmido, Contém vitaminas, minerais e compostos nutritivos",Não,,1 a 3,,Sim
27/02/2026 17:02:53,Pessoa física (residência),Serviços,Chapecó (sem bairro),"Orgânicos (restos de alimentos, cascas, bagaço), Plástico, Papelão, Vidro, Metal","Restos de comida, Cascas de frutas, Casca de ovos, Borra de café",Orgânicos provenientes de alimentos do dia-a-dia e recicláveis (embalagens),Consumo diário,,5–10 kg por semana,Coleta seletiva,Sim,Não,"Alto teor orgânico, É úmido, É seco",Não,,1 a 3,,Talvez
27/02/2026 17:11:53,Pessoa física (residência),Residencial,Pinhalzinho,"Orgânicos (restos de alimentos, cascas, bagaço), Plástico","Restos de comida, Cascas de frutas, Casca de ovos, Sementes de frutas, Cascas de legumes e verduras","Cascas de banana, arroz, semente de maçã, casca de laranja, embalagens ",Consumo diário,,1–5 kg por semana,Coleta seletiva,Não,Sim,"Alto teor orgânico, É úmido, É seco, Contém vitaminas, minerais e compostos nutritivos",Sim,,4 a 6,,Sim
27/02/2026 17:12:05,Pessoa física (residência),Residencial,Germânico,"Orgânicos (restos de alimentos, cascas, bagaço), Plástico","Restos de comida, Cascas de frutas, Casca de ovos","cascas de frutas, sobra de refeiçoes",Consumo diário,,1–5 kg por semana,Coleta pública comum,Não,Não,"Alto teor orgânico, Contém vitaminas, minerais e compostos nutritivos",Não,,4 a 6,,Talvez
27/02/2026 17:12:11,Instituição pública,Serviços,Xaxim,"Orgânicos (restos de alimentos, cascas, bagaço)","Restos de comida, Cascas de frutas, Casca de ovos",casca de diversas frutas,Processo produtivo,,1–5 kg por semana,Não sei,Não sei,Sim,"É úmido, Contém vitaminas, minerais e compostos nutritivos",Não,,10 a 30,,Talvez
27/02/2026 17:12:25,Pessoa física (residência),Residencial,Xaxim,"Orgânicos (restos de alimentos, cascas, bagaço), Plástico","Restos de comida, Cascas de frutas, Frutas estragadas",comida de panela cascas de banana melão melancia ,Consumo diário,,Não sei estimar,Compostagem,Não,Nunca pensei sobre isso,É úmido,Sim,,4 a 6,,Talvez
27/02/2026 17:12:30,Pessoa física (residência),Comércio,Outro,"Orgânicos (restos de alimentos, cascas, bagaço), Plástico, Óleo residual","Restos de comida, Cascas de frutas, Casca de ovos",Borra de cafe...,Consumo diário,,Não sei estimar,Coleta pública comum,Não sei,Não,Não sei informar,Não,,Mais de 50 pessoas,,Talvez
27/02/2026 17:12:38,Pessoa física (residência),Indústria em geral,Alvorada,"Orgânicos (restos de alimentos, cascas, bagaço), Papelão","Restos de comida, Borra de café, Frutas estragadas","sobra de café, frutas podre, erva mate",Consumo diário,,Não sei estimar,Coleta pública comum,Não sei,Sim,Não sei informar,Sim,,30 a 50,,Talvez
27/02/2026 17:12:39,Pessoa física (residência),Comércio,Primavera,"Orgânicos (restos de alimentos, cascas, bagaço), Plástico","Restos de comida, Cascas de frutas, Cascas de legumes e verduras","resto de comida, casca de legumes....................",Consumo diário,,5–10 kg por semana,Coleta pública comum,Não sei,Sim,"É úmido, Contém vitaminas, minerais e compostos nutritivos",Não,,Mais de 50 pessoas,,Talvez
27/02/2026 17:13:10,Pessoa física (residência),Residencial,Frei Bruno,"Orgânicos (restos de alimentos, cascas, bagaço), Plástico","Casca de ovos, Borra de café, Cascas de legumes e verduras","Erva mate, cascas de frutas ",Consumo diário,,5–10 kg por semana,Compostagem,Não,Sim,"Alto teor orgânico, É úmido",Sim,,4 a 6,,Sim
27/02/2026 17:13:14,Pessoa física (residência),Residencial,Guarany,"Orgânicos (restos de alimentos, cascas, bagaço), Plástico","Restos de comida, Borra de café, Cascas de legumes e verduras",restos do almoço,Consumo diário,,Não sei estimar,Coleta seletiva,Não sei,Nunca pensei sobre isso,Não sei informar,Não,,1 a 3,,Não
27/02/2026 17:13:15,Pessoa física (residência),Residencial,Guarany,"Plástico, Papelão","Restos de comida, Borra de café, Cascas de legumes e verduras",resto de almoço ,Consumo diário,,Não sei estimar,Coleta pública comum,Não sei,Nunca pensei sobre isso,Não sei informar,Não,,1 a 3,,Não
27/02/2026 17:13:39,Pessoa física (residência),Residencial,Outro,"Orgânicos (restos de alimentos, cascas, bagaço)",Restos de comida,restos de comida,Consumo diário,,Não sei estimar,Reaproveitamento,Não,Sim,É úmido,Sim,,4 a 6,,Não
27/02/2026 17:13:41,Pessoa física (residência),Residencial,Outro,"Orgânicos (restos de alimentos, cascas, bagaço), Óleo residual","Restos de comida, Cascas de frutas, Cascas de legumes e verduras","Restos de comida, cascas de fruta, erva mate.",Consumo diário,,Não sei estimar,Reaproveitamento,Não,Sim,"Alto teor orgânico, É úmido, Contém vitaminas, minerais e compostos nutritivos",Sim,,4 a 6,,Não
27/02/2026 17:14:35,Pessoa física (residência),Residencial,Xaxim,"Orgânicos (restos de alimentos, cascas, bagaço), Plástico","Restos de comida, Casca de ovos, Cascas de legumes e verduras","Erva-mate, cascas de ovos",Consumo diário,,1–5 kg por semana,Coleta pública comum,Não,Sim,É úmido,Não,,1 a 3,,Não
27/02/2026 17:15:47,Pessoa física (residência),Residencial,Xaxim,"Orgânicos (restos de alimentos, cascas, bagaço), Plástico","Cascas de frutas, Casca de ovos",casca de banana,Consumo diário,,1–5 kg por semana,Coleta pública comum,Não,Não,Alto teor orgânico,Não,,4 a 6,,Sim
27/02/2026 17:17:15,Pessoa física (residência),Residencial,Passo dos Fortes,"Orgânicos (restos de alimentos, cascas, bagaço), Plástico",Restos de comida,"cascas de fruta, carne ",Consumo diário,,5–10 kg por semana,Coleta pública comum,Não,Não,"Alto teor orgânico, É úmido",Não,,1 a 3,,Talvez
27/02/2026 17:17:48,Pessoa física (residência),Residencial,Santa Terezinha,"Orgânicos (restos de alimentos, cascas, bagaço), Plástico, Papelão","Restos de comida, Frutas estragadas, Legumes e verduras estragadas",Produtos de padaria mofados - Casca de frutas,Produto fora de especificação,,5–10 kg por semana,Reaproveitamento,Não sei,Nunca pensei sobre isso,"Alto teor orgânico, É úmido",Não,,1 a 3,,Sim
27/02/2026 17:17:57,Pessoa física (residência),agricultura,Primavera,"Orgânicos (restos de alimentos, cascas, bagaço), Plástico","Restos de comida, Cascas de frutas, Cascas de legumes e verduras, Frutas estragadas"," erva mate,casca de laranja",Consumo diário,,5–10 kg por semana,Compostagem,Não,Sim,"Alto teor orgânico, É úmido, É seco, Contém vitaminas, minerais e compostos nutritivos",Sim,,1 a 3,,Talvez
27/02/2026 17:18:01,Pessoa física (residência),Agricultura,Xaxim,"Orgânicos (restos de alimentos, cascas, bagaço), Plástico","Cascas de frutas, Casca de ovos, Cascas de legumes e verduras","Casca de ovos, erva-mate e casca de alface",Sobra de matéria-prima,,5–10 kg por semana,Reaproveitamento,Não,Sim,"Alto teor orgânico, É úmido, É seco, Contém vitaminas, minerais e compostos nutritivos",Sim,,6 a 10,,Sim
27/02/2026 17:23:18,Pessoa física (residência),Residencial,São Cristóvão,"Orgânicos (restos de alimentos, cascas, bagaço)","Cascas de frutas, Borra de café, Cascas de legumes e verduras","Borra de café, cascas de banana/melão/laranja/manga",Consumo diário,,1–5 kg por semana,Compostagem,Não,Sim,"Alto teor orgânico, É úmido, Contém vitaminas, minerais e compostos nutritivos",Sim,,1 a 3,,Não
27/02/2026 17:30:51,Pessoa física (residência),Residencial,Flor,"Orgânicos (restos de alimentos, cascas, bagaço), Plástico, Papelão","Restos de comida, Cascas de frutas, Casca de ovos","casca de melancia, resto de uva e casca de ovos ",Consumo diário,,Não sei estimar,Coleta pública comum,Não sei,Não,Não sei informar,Não,,1 a 3,,Sim
27/02/2026 17:40:21,Pessoa física (residência),Residencial,Chapecó (sem bairro),"Orgânicos (restos de alimentos, cascas, bagaço)","Cascas de frutas, Sementes de frutas, Cascas de legumes e verduras",Cascas de banana ,Consumo diário,,1–5 kg por semana,Descarte,Sim,Sim,É úmido,Sim,,1 a 3,,Sim
27/02/2026 17:51:16,Pessoa física (residência),Residencial,Jardim Itália,"Orgânicos (restos de alimentos, cascas, bagaço), Plástico","Restos de comida, Cascas de frutas, Casca de ovos",Borra de café e restos vegetais,Consumo diário,,Não sei estimar,Coleta seletiva,Sim,Sim,Não sei informar,Não,,1 a 3,,Talvez
27/02/2026 17:52:18,Pessoa física (residência),Residencial,Outro,"Orgânicos (restos de alimentos, cascas, bagaço), Plástico","Restos de comida, Cascas de frutas, Frutas estragadas","Casca de banana, melancia, restos de carnes…",Consumo diário,,5–10 kg por semana,Coleta pública comum,Sim,Sim,"Alto teor orgânico, Contém vitaminas, minerais e compostos nutritivos",Não,,4 a 6,,Talvez
27/02/2026 18:31:03,Pessoa física (residência),Residencial,São Cristóvão,"Orgânicos (restos de alimentos, cascas, bagaço), Plástico, Papelão, Vidro, Metal","Restos de comida, Cascas de frutas, Casca de ovos, Borra de café, Sementes de frutas, Cascas de legumes e verduras","Casca de banana, casca de ovo, restos de comida",Consumo diário,,5–10 kg por semana,Coleta pública comum,Não,Sim,"Alto teor orgânico, É úmido, Contém vitaminas, minerais e compostos nutritivos",Sim,,1 a 3,,Sim
27/02/2026 18:44:30,Pessoa física (residência),Residencial,Jardim Itália,"Orgânicos (restos de alimentos, cascas, bagaço), Plástico","Restos de comida, Casca de ovos, Cascas de legumes e verduras","Semente e casca de mamão e banana, erva usada, casca de ovo, cascas de legumes, ",Consumo diário,,10–50 kg por semana,Coleta pública comum,Não,Sim,"Alto teor orgânico, É úmido",Sim,,1 a 3,,Sim
27/02/2026 19:08:46,Pessoa física (residência),Residencial,Belvedere,"Orgânicos (restos de alimentos, cascas, bagaço), Plástico, Papelão, Vidro",Restos de comida,Cascas de frutas e erva mate,Consumo diário,,5–10 kg por semana,Coleta pública comum,Não,Sim,É úmido,Sim,,4 a 6,,Talvez
27/02/2026 19:12:00,Pessoa física (residência),Residencial,Coronel Freitas,"Orgânicos (restos de alimentos, cascas, bagaço), Plástico","Restos de comida, Cascas de frutas, Cascas de legumes e verduras",Cascas de legumes ,Consumo diário,,5–10 kg por semana,Reaproveitamento,Não,Não,Alto teor orgânico,Não,,4 a 6,,Sim
27/02/2026 20:16:11,Pessoa física (residência),Residencial,Efapi,"Orgânicos (restos de alimentos, cascas, bagaço), Plástico","Restos de comida, Cascas de frutas, Borra de café",Cascas de banana e borra de café ,Consumo diário,,1–5 kg por semana,Coleta seletiva,Não sei,Sim,"Alto teor orgânico, É úmido",Sim,,1 a 3,,Sim
27/02/2026 21:22:36,Pessoa física (residência),Residencial,Efapi,"Orgânicos (restos de alimentos, cascas, bagaço), Plástico","Restos de comida, Cascas de legumes e verduras, Frutas estragadas",Resto de carne,Consumo diário,,5–10 kg por semana,Coleta pública comum,Não,Sim,Não sei informar,Não,,1 a 3,,Sim
27/02/2026 21:31:57,Pessoa física (residência),Residencial,Coronel Freitas,"Orgânicos (restos de alimentos, cascas, bagaço), Plástico","Restos de comida, Cascas de frutas, Casca de ovos, Cascas de legumes e verduras",Casca de fruta ,Consumo diário,,5–10 kg por semana,Descarte,Não,Sim,"É úmido, Contém vitaminas, minerais e compostos nutritivos",Sim,,4 a 6,,Talvez
27/02/2026 21:33:48,Pessoa física (residência),Residencial,Cristo Rei,"Orgânicos (restos de alimentos, cascas, bagaço), Plástico","Restos de comida, Borra de café","Borra de café, casca de banana, melancia, laranja, restos de comida (arroz, feijão, macarrão)",Consumo diário,,5–10 kg por semana,Coleta pública comum,Não,Sim,"Alto teor orgânico, É úmido, Contém vitaminas, minerais e compostos nutritivos",Sim,,1 a 3,,Sim
27/02/2026 21:48:48,Pessoa física (residência),Residencial,Efapi,"Orgânicos (restos de alimentos, cascas, bagaço), Plástico","Restos de comida, Cascas de frutas, Legumes e verduras estragadas","Restos de carne, feijão, arroz e legumes inteiros que estragam",Consumo diário,,1–5 kg por semana,Coleta pública comum,Sim,Sim,"Alto teor orgânico, É úmido",Não,,1 a 3,,Não
27/02/2026 21:52:26,Pessoa física (residência),Residencial,Efapi,"Orgânicos (restos de alimentos, cascas, bagaço), Plástico, Papelão","Restos de comida, Cascas de frutas, Casca de ovos, Cascas de legumes e verduras, Frutas estragadas",resto de arroz ,Consumo diário,,1–5 kg por semana,Coleta pública comum,Não,Sim,Alto teor orgânico,Não,,1 a 3,,Talvez
28/02/2026 07:05:58,Pessoa física (residência),Residencial,Presidente Médici,"Orgânicos (restos de alimentos, cascas, bagaço), Plástico","Restos de comida, Cascas de legumes e verduras, Legumes e verduras estragadas","Restos de comida pronta,arroz feijão,legumes como abibrinha cascas de banana ,cascas de melancia,melão,cascas de uva ,saladas",Consumo diário,,1–5 kg por semana,Coleta seletiva,Não,Sim,Alto teor orgânico,Não,,1 a 3,,Sim
28/02/2026 09:24:36,Pessoa física (residência),Residencial,Coronel Freitas,"Orgânicos (restos de alimentos, cascas, bagaço), Plástico","Restos de comida, Cascas de frutas, Cascas de legumes e verduras",Cascas de legumes ,Consumo diário,,5–10 kg por semana,Reaproveitamento,Não,Não,Alto teor orgânico,Não,,4 a 6,,Sim
28/02/2026 09:57:39,Pessoa física (residência),Residencial,Efapi,"Orgânicos (restos de alimentos, cascas, bagaço), Plástico","Restos de comida, Casca de ovos, Borra de café",Cascas de banana,Consumo diário,,Não sei estimar,Coleta pública comum,Não,Nunca pensei sobre isso,É úmido,Não,,1 a 3,,Talvez
